cr59c_begindate,cr59c_deliverymethoddescriptor,cr59c_deliverymethoddescriptorid,cr59c_discriminator,cr59c_educationorganizationid,cr59c_enddate,importsequencenumber,cr59c_interventionclassdescriptor,cr59c_interventionclassdescriptorid,cr59c_interventionidentificationcode,cr59c_interventiontier,cr59c_interventiontypeid,cr59c_maxdosage,cr59c_mindosage,cr59c_ppt_interventionparty,cr59c_ppt_interventiontypesid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
,Small Group,,,,,,Class,,RolePlayDesiredBehaviors,1,77,,,,b9951116-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965563,
,Whole Group,,,,,,Class,,ModelDesiredBehaviors,1,76,,,,9326c3fc-b1bf-ea11-a812-000d3a8db680,Active,Active,,,3965554,
,Individual,,,,,,Class,,ClassroomPerformanceContract,1,75,,,,e5ad5f8f-aebf-ea11-a812-000d3a8db680,Active,Active,,,3965545,
,Individual,,,,,,Other,,DailyOrWeeklyMonitoringSheet,1,74,,,,bc960976-aebf-ea11-a812-000d3a8db680,Active,Active,,,3965535,
,Whole Group,,,,,,Curriculum,,UseDifferentLearningApproaches_SuchAs_VisualAuditoryMultisensory,1,73,,,,25d92454-aebf-ea11-a812-000d3a8db680,Active,Active,,,3965525,
,Whole Group,,,,,,Curriculum,,StoryMappingWebbingCharts,1,72,,,,0d041fdb-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915280,
,Whole Group,,,,,,Curriculum,,DirectInstructionInPhonics,1,71,,,,f4582fc3-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915271,
,Individual,,,,,,Class,,StudentAllowedToUseCalculator,1,70,,,,7d1042ab-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915261,
,Whole Group,,,,,,Curriculum,,SubstituteOralReportsOrProjectsForWrittenAssignments,1,69,,,,f6732d8d-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915252,
,Individual,,,,,,Curriculum,,ModifyOrReduceWhatStudentIsRequiredToLearn,1,68,,,,c0693b75-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915243,
,Whole Group,,,,,,Class,,ReinforceCorrectResponsePromptly,1,67,,,,9303c32c-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915232,
,Whole Group,,,,,,Class,,TeacherModelsStrategiesOrSkills,1,66,,,,c780d40e-abbb-ea11-a812-000d3a8db680,Active,Active,,,3915223,
,Individual,,,,,,Class,,PeerTakesNotesForStudent,1,65,,,,d423dfc6-aabb-ea11-a812-000d3a8db680,Active,Active,,,3915214,
,Individual,,,,,,Class,,StudentAllowedToRecordLectures,1,64,,,,8011e9ae-aabb-ea11-a812-000d3a8db680,Active,Active,,,3915205,
,Small Group,,,,,,Class,,InformationReadOrally_InGroup_WithPeer_Or_WithTutor,1,63,,,,f9059a97-aabb-ea11-a812-000d3a8db680,Active,Active,,,3915196,
,Whole Group,,,,,,Curriculum,,MathManipulatives,1,62,,,,c8f14f69-aabb-ea11-a812-000d3a8db680,Active,Active,,,3914783,
,Whole Class,,,,,,Class,,PresentLessonsOnOverhead,1,61,,,,bd776751-aabb-ea11-a812-000d3a8db680,Active,Active,,,3914774,
,Whole Group,,,,,,Class,,ProvideStudyGuides_StudySheets_Or_HighlightedTexts,1,60,,,,3560fa7e-a9bb-ea11-a812-000d3a8db680,Active,Active,,,3914765,
,Individual,,,,,,Curriculum,,MaterialAtStudentsLevelOfFunctioning,1,59,,,,4b8e1f43-a9bb-ea11-a812-000d3a8db680,Active,Active,,,3914756,
,Whole Group,,,,,,Class,,TapeRecordBooksOrTexts,1,58,,,,cb4af42a-a9bb-ea11-a812-000d3a8db680,Active,Active,,,3914746,
,Whole Group,,,,,,Supplement,,SupplementaryInstructionalMaterials,1,57,,,,19a96ef3-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914737,
,Whole Group,,,,,,Class,,UseOfMoreConcreteMaterials,1,56,,,,2dbf97da-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914728,
,Whole Class,,,,,,Class,,TeacherCirculatesAroundTheRoom,1,55,,,,9dbdb4c6-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914719,
,Individual,,,,,,Class,,TeacherOrPeerIndividuallyReviewsDirectionsWithStudent,1,54,,,,2e14bfb4-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914710,
,Whole Group,,,,,,Class,,StudentRepeatsDirections,1,53,,,,3defd989-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914701,
,Whole Group,,,,,,Class,,ShortClearDirectionsVerballyAndVisually,1,52,,,,8677c971-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914692,
,Individual,,,,,,Supplement,,ParentHelpAtHome,1,51,,,,6cafd259-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914682,
,Whole Group,,,,,,Class,,CoTeaching,1,50,,,,165e9441-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914284,
,Small Group,,,,,,Class,,IndividualOrSmallGroupInstruction,1,49,,,,93729f2f-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914275,
,Small Group,,,,,,Supplement,,HomeworkClub,1,48,,,,83eb941d-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914266,
,Small Group,,,,,,Supplement,,PeerOrAdultTutoring,1,47,,,,5a1fa70b-a8bb-ea11-a812-000d3a8db680,Active,Active,,,3914257,
,Whole Group,,,,,,Class,,StudentsWorkInPairsOrWithStudyBuddies,1,46,,,,74dea7ed-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914248,
,Whole Group,,,,,,Class,,UseDrillOrMorePractice,1,45,,,,7a268fc9-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914239,
,Small Group,,,,,,Curriculum,,ResourceAssistant,1,44,,,,41c788ac-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914230,
,Whole Group,,,,,,Class,,UseOfTimer,1,43,,,,a2a28b8c-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914221,
,Whole Group,,,,,,Class,,RewardsForStartingOrCompletingWork,1,42,,,,eab96079-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914212,
,Whole Group,,,,,,Other,,DemonstrateProperBodyPosition,1,41,,,,00d18c2d-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914203,
,Individual,,,,,,Other,,CleanWorkSpace,1,40,,,,0d6d730e-a7bb-ea11-a812-000d3a8db680,Active,Active,,,3914187,
,Whole Group,,,,,,Supplement,,BreakDownTaskIntoSmallerSteps,1,39,,,,0e03a2ed-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3914178,
,Whole Group,,,,,,Class,,TeachPlanningAndPacingForProject,1,38,,,,84e81089-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3914169,
,Individual,,,,,,Supplement,,MaintainAssignmentCalendar,1,37,,,,dd754c75-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3914160,
,Whole Class,,,,,,Supplement,,UseFoldersToOrganize,1,36,,,,5a79a659-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3914151,
,Individual,,,,,,Supplement,,ProvideRoutineSchedule,1,35,,,,1855b63c-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3914142,
,Whole Class,,,,,,Curriculum,,AllowUseOfAids_eg_CalculatorNotesLaptopChartsEtc,1,34,,,,6600d01d-a6bb-ea11-a812-000d3a8db680,Active,Active,,,3913967,
,Small Group,,,,,,Curriculum,,ReadTestToStudent,1,33,,,,4c69de46-a3bb-ea11-a812-000d3a8db680,Active,Active,,,3913957,
,Individual,,,,,,Curriculum,,ModifyGradingCriteria,1,32,,,,1976c639-a3bb-ea11-a812-000d3a8db680,Active,Active,,,3913948,
,Individual,,,,,,Curriculum,,ModifyFormat_eg_TeacherConference_Presentation_ResearchProject_InsteadOfTest,1,31,,,,ac8b15ef-a2bb-ea11-a812-000d3a8db680,Active,Active,,,3913938,
,Whole Class,,,,,,Curriculum,,ShortenTest,1,30,,,,663cf3bf-a2bb-ea11-a812-000d3a8db680,Active,Active,,,3913929,
,Whole Class,,,,,,Curriculum,,VaryTestingOptions_eg_OpenBook_MultipleChoice_ShortAnswer_Oral,1,29,,,,ce6830a6-a2bb-ea11-a812-000d3a8db680,Active,Active,,,3913920,
,Individual,,,,,,Class,,DailyOrWeeklyAssignmentCalendarOrContract,1,28,,,,132f8d7d-a2bb-ea11-a812-000d3a8db680,Active,Active,,,3913911,
,Individual,,,,,,Class,,StudentPrioritizesAssignments,1,27,,,,6955670e-a2bb-ea11-a812-000d3a8db680,Active,Active,,,3913902,
,Individual,,,,,,Class,,AllowStudentToRecordOrTypeAssignment,1,26,,,,e01d1ae1-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913689,
,Whole Class,,,,,,Class,,GiveOralCuesOrPrompts,1,25,,,,c165b6bf-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913680,
,Whole Class,,,,,,Curriculum,,ReducePaperPencilTests,1,24,,,,b3369f9b-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913668,
,Individual,,,,,,Curriculum,,GiveAlternateAssignments,1,23,,,,abecaa7d-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913659,
,Individual,,,,,,Curriculum,,UseWrittenBackupForOralDirections,1,22,,,,8e9c8f59-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913650,
,Individual,,,,,,Curriculum,,GiveDirectionsInSmallSteps,1,21,,,,7aa6702c-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913641,
,Individual,,,,,,Curriculum,,ReadDirectionsToStudent,1,20,,,,d29a3f0f-a1bb-ea11-a812-000d3a8db680,Active,Active,,,3913632,
,Individual,,,,,,Curriculum,,ExtraTimeForAssignmentCompletion,1,19,,,,cd2750f1-a0bb-ea11-a812-000d3a8db680,Active,Active,,,3913623,
,Individual,,,,,,Curriculum,,ModifyOrShortenAssignments,1,18,,,,b99a54d9-a0bb-ea11-a812-000d3a8db680,Active,Active,,,3913614,
,Individual,,,,,,Other,,AllowStudentMoreTravelTimeBetweenClasses,1,17,,,,856e5aaf-a0bb-ea11-a812-000d3a8db680,Active,Active,,,3913605,
,Individual,,,,,,Class,,ChangeOfClassSchedule,1,16,,,,7a665f91-a0bb-ea11-a812-000d3a8db680,Active,Active,,,3913596,
,Individual,,,,,,Class,,ChangeOfTeacher,1,15,,,,5bba6cdd-9fbb-ea11-a812-000d3a8db680,Active,Active,,,3913587,
,Individual,,,,,,Class,,VaryLocationOfStudentByTask,1,14,,,,4bc3809b-9fbb-ea11-a812-000d3a8db680,Active,Active,,,3913578,
,Small Group,,,,,,Class,,SupervisedStudyGroups,1,13,,,,3611887d-9fbb-ea11-a812-000d3a8db680,Active,Active,,,3913569,
,Individual,,,,,,Class,,SpecialStudyArea,1,12,,,,7a7cb968-9fbb-ea11-a812-000d3a8db680,Active,Active,,,3913560,
,Individual,,,,,,Class,,ChangeSeatingArrangements,1,11,,,,ae724829-9fbb-ea11-a812-000d3a8db680,Active,Active,,,3913551,
,Whole Group,,,,,,Supplement,,255901001-CheckAndConnect-NinthGrade,,1,50,5,,18631eba-00b5-ea11-a812-000d3a8db680,Active,Active,,,3647157,
